N,P,K,Moisture,Temperature,Label
34,48,97,94.0,28.25,Moderate
34,48,96,93.0,28.25,Moderate
34,48,96,96.0,28.25,Moderate
34,48,96,94.0,28.25,Moderate
34,48,96,94.0,28.25,Moderate
34,48,96,94.0,28.25,Moderate
34,48,96,94.0,28.25,Moderate
34,47,95,94.0,28.25,Moderate
34,47,95,92.0,28.19,Moderate
33,47,95,93.0,28.19,Moderate
33,47,94,94.0,28.12,Moderate
33,47,94,96.0,28.12,Moderate
33,47,94,95.0,28.12,Moderate
33,47,94,94.0,28.12,Moderate
33,47,94,94.0,28.12,Moderate
33,47,94,95.0,28.12,Moderate
33,47,94,95.0,28.12,Moderate
33,47,94,94.0,28.12,Moderate
33,47,94,95.0,28.12,Moderate
33,47,94,95.0,28.12,Moderate
33,47,94,93.0,28.06,Moderate
33,47,94,94.0,28.12,Moderate
33,47,94,94.0,28.06,Moderate
33,47,94,91.0,28.00,Moderate
33,47,94,96.0,28.00,Moderate
33,46,93,95.0,28.00,Moderate
33,47,94,100.0,28.00,Moderate
33,47,94,94.0,28.00,Moderate
33,47,94,94.0,28.00,Moderate
33,47,94,94.0,28.00,Moderate
33,47,94,94.0,28.00,Moderate
29,40,81,94.0,27.94,Moderate
28,40,80,94.0,27.94,Moderate
28,40,80,94.0,27.94,Moderate
28,40,80,94.0,27.87,Moderate
29,40,81,85.0,26.87,Moderate
29,40,81,85.0,26.87,Moderate
29,41,82,80.0,26.87,Moderate
29,41,82,85.0,26.94,Moderate
29,41,82,85.0,26.94,Moderate
29,41,82,84.0,26.87,Moderate
29,41,82,85.0,26.87,Moderate
29,41,82,84.0,26.87,Moderate
29,40,81,84.0,26.87,Moderate
29,40,81,84.0,26.87,Moderate
29,40,81,84.0,26.87,Moderate
29,40,81,85.0,26.87,Moderate
29,40,81,82.0,26.87,Moderate
29,40,81,82.0,26.87,Moderate
29,40,81,85.0,26.81,Moderate
28,40,81,81.0,26.87,Moderate
28,40,80,84.0,26.81,Moderate
28,40,80,84.0,26.81,Moderate
28,40,80,84.0,26.81,Moderate
28,40,80,84.0,26.81,Moderate
28,40,80,84.0,26.81,Moderate
28,40,80,85.0,26.81,Moderate
28,39,79,85.0,26.81,Moderate
28,39,79,84.0,26.81,Moderate
28,39,78,84.0,26.81,Moderate
28,39,79,81.0,26.81,Moderate
28,39,78,84.0,26.75,Moderate
28,39,78,85.0,26.75,Moderate
28,39,78,81.0,26.75,Moderate
28,39,78,86.0,26.75,Moderate
27,39,78,84.0,26.75,Moderate
27,39,78,85.0,26.75,Moderate
27,38,77,84.0,26.75,Moderate
32,45,90,54.0,26.56,Moderate
32,44,89,53.0,26.56,Moderate
31,44,89,58.0,26.56,Moderate
31,44,89,54.0,26.56,Moderate
31,44,88,54.0,26.56,Moderate
31,43,87,54.0,26.56,Moderate
31,43,87,53.0,26.56,Moderate
31,43,86,53.0,26.56,Moderate
31,43,86,55.0,26.56,Moderate
30,43,86,54.0,26.56,Moderate
31,43,86,54.0,26.56,Moderate
30,43,86,53.0,26.56,Moderate
30,43,86,56.0,26.56,Moderate
30,42,85,54.0,26.56,Moderate
30,42,85,53.0,26.56,Moderate
30,42,85,55.0,26.56,Moderate
30,42,85,53.0,26.62,Moderate
30,42,85,54.0,26.62,Moderate
30,42,84,53.0,26.62,Moderate
30,42,84,52.0,26.62,Moderate
30,42,84,54.0,26.62,Moderate
30,42,84,51.0,26.62,Moderate
30,42,84,57.0,26.62,Moderate
30,42,84,48.0,26.62,Moderate
29,41,83,53.0,26.62,Moderate
29,41,83,49.0,26.62,Moderate
30,42,84,54.0,26.69,Moderate
30,42,84,53.0,26.69,Moderate
29,41,83,53.0,26.69,Moderate
29,41,83,54.0,26.69,Moderate
29,41,83,58.0,26.69,Moderate
29,41,83,56.0,26.69,Moderate
2,5,12,92.3,27.93,Depleted
4,3,10,91.5,27.99,Depleted
2,3,10,91.5,27.98,Depleted
3,3,11,91.1,28.34,Depleted
4,3,8,91.5,27.95,Depleted
5,5,10,91.3,28.25,Depleted
3,3,9,91.1,28.16,Depleted
3,6,11,90.4,27.91,Depleted
2,6,10,90.5,28.07,Depleted
4,4,10,90.4,28.46,Depleted
4,5,9,89.7,28.05,Depleted
4,5,8,89.5,28.32,Depleted
5,5,11,89.7,28.48,Depleted
5,3,12,89.5,28.22,Depleted
4,4,12,89.4,28.16,Depleted
3,4,10,89.0,28.29,Depleted
4,6,11,88.6,28.27,Depleted
2,5,11,88.6,28.08,Depleted
2,5,10,88.7,28.16,Depleted
2,6,8,87.9,28.35,Depleted
2,3,11,88.3,28.34,Depleted
5,3,11,88.2,28.15,Depleted
3,4,11,87.8,28.18,Depleted
2,4,9,87.5,28.19,Depleted
4,4,11,87.1,28.14,Depleted
5,5,8,86.8,28.07,Depleted
5,4,12,87.1,28.03,Depleted
4,5,10,86.8,28.27,Depleted
2,6,9,86.6,28.04,Depleted
2,4,11,86.2,28.20,Depleted
3,6,9,85.6,28.05,Depleted
2,3,11,85.7,28.08,Depleted
4,3,12,85.9,28.22,Depleted
5,5,9,85.3,28.23,Depleted
5,5,9,85.6,28.01,Depleted
2,4,9,84.6,27.99,Depleted
5,3,9,85.2,28.44,Depleted
2,3,9,84.7,28.17,Depleted
2,4,9,84.2,28.18,Depleted
